* ^ Clāmāvī dē trībulātiōne meā ad Dominum, et exaudīvit mē; dē ventre inferī clāmāvī, et exaudistī vōcem meam. ^ I cried out of my affliction to the Lord, and he heard me: I cried out of the belly of hell, and thou hast heard my voice.
12 ^ Et prōjēcisti mē in prōfundum in corde maris, et flūmen circumdedit mē; ^ 
And thou hast cast me forth into the deep, in the heart of the sea, and a flood hast compassed me;
11 ^ omnes gurgitēs tuī, et fluctus tuī super mē transiērunt. ^ all thy billows, and thy waves have passed over me.
10 ^ Et egō dixī: Abjectus sum ā conspectū oculōrum tuōrum; vērumtamen rursus vidēbō templum sanctum tuum. ^ 
And I said: I am cast away out of the sight of thy eyes: but yet I shall see the holy temple again.
9 ^ Circumdedērunt mē aquae usque ad animam; abissus vallāvit mē, pelagus operuit caput meum. ^  The waters compassed me about even to the soul: the deep hath closed me round about, the sea hath covered my head.
8 ^ Ad extrēma montium dēscendī; terrae vectēs conclūsērunt mē in aeternum, ^ I went down to the lowest parts of the mountains: the bars of the earth have shut me up for ever,
7 ^ et sublevābis dē corruptiōne vītam meam, Domine Deus meus. ^ and thou wilt bring up my life from corruption, O Lord my God.
6 ^ Cum angustiārētur in mē anima mea, Dominī recordātus sum; ^ When my soul was in distress within me, I remembered the Lord;
5 ^ ut veniat ad tē ōrātiō mea, ad templum sanctum tuum. ^ that my prayer may come to thee, unto the holy temple.
4 ^ Quī custōdiunt vānitātēs frūstrā, misericordiam suam dērelinquunt. ^  They that in vain observe vanities, forsake their own mercy.
3 ^ Egō autem in vōce laudis immolābō tibī; quaecumque vōvī, reddam prō salūte Dominō. ^ But I with the voice of praise will sacrifice to thee: I will pay whatsoever I have vowed for my salvation to the Lord.
2 ^ Glōria Patrī et Fīliō et Spīrituī Sānctō, ^ Glory to the Father and to the Son and to the Holy Spirit,
1 ^ et nunc et semper, et in saecula saeculōrum. Āmen. ^ both now and ever, and unto the ages of ages. Amen.
