2 ^ Confitébor tìbi, Dòmine, in toto corde meo~; narrábo òmnia mirabìlia tua. ^ I will give praise to thee, O Lord, with my whole heart~; I will relate all thy wonders.
3 ^ Laĕtábor et exsultábo in te~; psallem nómini tuo, Altìssime, ^ I will be glad, and rejoice in thee~; I will sing to thy name, O thou most high.
4 ^ In convertèndo inimícum meum retrórsum~; infirmabùntur et períbunt a fácie tua. ^ When my enemy shall be turned back~; they shall be weakened and perish before thy face.
5 ^ Qŭóniam fecìsti judìcium meum et caŭsam meam~; sêdìsti super tronum qŭi júdicas justìtiam. ^ For thou hast maintained my judgment and my cause~; thou hast sat on the throne, who judgest justice.
6 ^ Increpavìsti gentes, et perívit ìmpius~; nomen eórum delevìsti in aĕtèrnum et in sáĕculum sáĕculi. ^ Thou hast rebuked the Gentiles, and the wicked one hath perished~; thou hast blotted out their name for ever and ever.
7 ^ Inimíci defecérunt frámeaĕ in finem, et civitátes eórum destruxìsti. Perívit memória eórum cum sónitu~; ^ The swords of the enemy have failed unto the end, and their cities thou hast destroyed. Their memory hath perished with a noise~;
8 ^ et Dòminus in aĕtèrnum pèrmanet. Parávit in judìcio tronum suum, ^ but the Lord remaineth for ever. He hath prepared his throne in judgment,
9 ^ et ìpse judicábit orbem terraĕ in aĕqŭitáte~; judicábit pòpulos in justìtia. ^ and he shall judge the world in equity~; he shall judge the people in justice.
10 ^ Et factus èst Dòminus refúgium páŭperi~; adjútor in opportunitátibus, in tribulatióne. ^ And the Lord is become a refuge for the poor~; a helper in due time in tribulation.
11 ^ Et sperent in te qŭi novérunt nomen tuum, qŭóniam non dereliquìsti qŭaĕrèntes te, Dòmine. ^ And let them trust in thee who know thy name, for thou hast not forsaken them that seek thee, O Lord.
12 ^ Psállite Dòmino qŭi hábitat in Sióne~; adnúntiem inter gentes stúdia ejus, ^ Sing ye to the Lord, who dwelleth in Sion~; declare his ways among the Gentiles,
13 ^ qŭóniam requírens sángŭinem eórum recordátus èst~; non èst oblítus clamórem páŭperum. ^ for requiring their blood, he hath remembered them~; he hath not forgotten the cry of the poor.
14 ^ Miserére mei, Dòmine~; vìde humilitátem meam de inimícîs meîs, ^ Have mercy on me, O Lord~; see my humiliation which I suffer from my enemies,
15 ^ qŭi exáltas me de portîs mortis, ut adnúntiem òmnes laŭdatiónes tuas in portîs fíliaĕ Siónis~; ^ thou that liftest me up from the gates of death, that I may declare all thy praises in the gates of the daughter of Sion~;
16 ^ exsultábo in salutári tuo. Infíxaĕ sùnt gentes in intèritu, qŭem fecérunt~; in láqŭeo ìsto, qŭem absconduérunt comprehènsus èst pes eórum. ^ I will rejoice in thy salvation. The Gentiles have stuck fast in the destruction which they prepared~; their foot hath been taken in the very snare which they hid.
17 ^ Cognoscétur Dòminus judìcia fáciens~; in opèribus mánuum suárum comprehènsus èst peccátor. ^ The Lord shall be known when he executeth judgments~; the sinner hath been caught in the works of his own hands.
18 ^ Convertántur peccatóres in infèrnum, òmnes gentes qŭaĕ obliviscùntur Deum. ^ The wicked shall be turned into hell, all the nations that forget God.
19 ^ Qŭóniam non in finem oblívio èrit páŭperis~; patièntia páŭperum non períbit in finem. ^ For the poor man shall not be forgotten to the end~; the patience of the poor shall not perish for ever.
20 ^ Exsùrge, Dòmine~; non confortétur hòmo~; judicèntur gentes in conspèctu tuo. ^ Arise, O Lord~; let not man be strengthened~; let the Gentiles be judged in thy sight.
21 ^ Constìtue, Dòmine, legislatórem super eos, ut sciant gentes qŭóniam hòmines sùnt. ^ Appoint, O Lord, a lawgiver over them, that the Gentiles may know themselves to be but men.
22 ^ ¿~Ut qŭid, Dòmine, recessìsti longe~; déspicis in opportunitátibus, in tribulatióne~? ^ Why, O Lord, hast thou retired afar off~; why dost thou slight us in our wants, in the time of trouble~?
23 ^ Dum supèrbit ìmpius, incènditur paŭper~; comprehendùntur in consìliîs quìbus cógitant. ^ Whilst the wicked man is proud, the poor is set on fire~; they are caught in the counsels which they devise.
24 ^ Qŭóniam laŭdátur peccátor in desidèriîs ánimaĕ suaĕ, et iníqŭus benedícitur. ^ For the sinner is praised in the desires of his soul, and the unjust man is blessed.
25 ^ Exacerbávit Dòminum peccátor~; secùndum multitúdinem iraĕ suaĕ non qŭaĕret~; non èst Deus in conspèctu ejus. ^ The sinner hath provoked the Lord~; according to the multitude of his wrath he will not seek him~; God is not before his eyes.
26 ^ Inquinátaĕ sùnt viaĕ illíus in òmni tèmpore~; aŭferùntur judìcia tua a fácie ejus~; òmnium inimicórum suórum dominábitur. ^ His ways are filthy at all times~; thy judgments are removed from his sight~; he shall rule over all his enemies.
27 ^ Dixit ènim in corde suo, «~Non movébor a generatióne in generatiónem, sine malo.~»^ For he hath said in his heart, "I shall not be moved from generation to generation, and shall be without evil."
28 ^ Cujus maledictióne os plenum èst, et amaritúdine, et dolo~; sub lingŭa ejus labor et dolor. ^ His mouth is full of cursing, and of bitterness, and of deceit~; under his tongue are labor and sorrow.
29 ^ Sèdet in insìdiîs cum divìtibus in occùltîs, ut interfìciat innocèntem. ^ He sits in ambush with the rich in private places, that he may kill the innocent.
30 ^ Òculi ejus in páŭperem respìciunt~; insidiátur in abscòndito, qŭasi leo in spelùnca sua. Insidiátur ut rápiat páŭperem~; rápere páŭperem dum áttrahit eum. ^ His eyes are upon the poor man~; he lieth in wait in secret like a lion in his den. He lieth in ambush that he may catch the poor man~; to catch the poor, whilst he draweth him to him.
31 ^ In láqŭeo suo humiliábit eum~; inclinábit se, et cadet qŭum dominátus fúerit páŭperum. ^ In his net he will bring him down~; he will bow himself down, and fall when he shall have power over the poor.
32 ^ Dixit ènim in corde suo, «~Oblítus èst Deus~; avèrtit fáciem suam, ne vìdeat in finem.~»^ For he hath said in his heart, "God hath forgotten, he hath turned away his face not to see to the end."
33 ^ Exsùrge, Dòmine Deus~; exaltétur manus tu~; ne obliviscáris páŭperum. ^ Arise, O Lord God~; let thy hand be exalted~; forget not the poor.
34 ^ ¿~Pròpter qŭid irritávit ìmpius Deum~? Dixit ènim in corde suo, «~Non requíret.~»^ Wherefore hath the wicked provoked God~? For he hath said in his heart, "He will not reqŭire it."
35 ^ Vìdes, qŭóniam tu labórem et dolórem consíderas, ut tradas eos in manûs tuas. Tìbi derelìctus èst paŭper~; órfano tu èris adjútor. ^ Thou seest it, for thou considerest labour and sorrow, that thou mayst deliver them into thy hands. To thee is the poor man left~; thou wilt be a helper to the orphan.
