1 ^ Exaudī, Domine, jūstitiam meam~; intende dēprecātiōnem meam. Auribus percipe ōrātiōnem meam, nōn in labiīs dolōsīs. ^ Hear, O Lord, my justice~; attend to my supplication. Give ear unto my prayer, which proceedeth not from deceitful lips.
2 ^ Dē vultū tuō jūdicium meum prōdiat~; oculī tuī videant aequitātēs. ^ Let my judgment come forth from thy countenance~; let thy eyes behold the things that are equitable.
3 ^ Probāvistī cor meum, et vīsitāvistī nocte~; igne mē exāmināvistī, et nōn est inventa in mē inīquitās. ^ Thou hast proved my heart, and visited it by night~; thou hast tried me by fire, and iniquity hath not been found in me.
4 ^ Ut nōn loquātur ōs meum opera hominum~; propter verba labiōrum tuōrum, egō custōdīvī viās dūrās. ^ That my mouth may not speak the works of men~; for the sake of the words of thy lips, I have kept hard ways.
5 ^ Perfice gressūs meōs in sēmitīs tuīs, ut nōn moveantur vestīgia mea. ^ Perfect thou my goings in thy paths, that my footsteps be not moved.
6 ^ Egō clāmāvī, quoniam exaudīvistī mē, Deus~; inclīnā aurem tuam mihī, et exaudī verba mea. ^ I have cried to thee, for thou hast heard me, O God~; incline thy ear unto me, and hear my words.
7 ^ Mīrificā misericordiās tuās, quī salvōs facīs spērantēs in tē. ^ Magnify thy mercies, thou who savest them that trust in thee.
8 ^ Ā resistentibus dexterae tuae custōdī mē, ut pūpillam oculī. Sub umbrā ālārum tuārum prōtege mē, ^ From them that resist thy right hand keep me, as the apple of thy eye. Protect me under the shadow of thy wings,
9 ^ ā faciē impiōrum quī mē afflixērunt. Inimīcī meī animam meam circumdedērunt~; ^ from the face of the wicked who have afflicted me. My enemies have surrounded my soul~;
10 ^ adipem suum conclūsērunt~; ōs eōrum locūtum est superbiam. ^ they have shut up their fat~; their mouth hath spoken proudly.
11 ^ Prōjicientēs mē nunc circumdedērunt mē~; oculōs suōs statuērunt dēclīnāre in terram. ^ They have cast me forth, and now they have surrounded me~; they have set their eyes bowing down to the earth.
12 ^ Suscēpērunt mē sīcut leō parātus ad praedam, et sīcut catulus leōnis habitans in abditīs. ^ They have taken me as a lion prepared for the prey, and as a young lion dwelling in secret places.
13 ^ Exsurge, Domine~; praevenī eum, et supplantā eum~; ēripe animam meam ab impiō~; frameam tuam ab inimīcīs manūs tuae. ^ Arise, O Lord~; disappoint him, and supplant him~; deliver my soul from the wicked one~; thy sword from the enemies of thy hand.
14 ^ Domine, ā paucīs dē terrā dīvide eōs in vītā eōrum~; dē absconditīs tuīs adimplētus est venter eōrum. Saturātī sunt fīliīs, et dīmīsērunt reliquiās suās parvulīs suīs. ^ O Lord, divide them from the few of the earth in their life~; their belly is filled from thy hidden stores. They are full of children, and they have left to their little ones the rest of their substance.
15 ^ Egō autem in jūstitiā appārēbō conspectuī tuō~; satiābor quum appāruerit glōria tua. ^ But as for me, I will appear before thy sight in justice~; I shall be satisfied when thy glory shall appear.
