2 ^ Deus noster refúǧium et vìrtûs~; adjútor in tribulațiónibus qŭaĕ invenérunt nos nìmis. ^ Our God is our refuge and strength~; a helper in troubles which have found us exceedingly.
3 ^ Proptèrea non timébimus dum turbábitur terra, et transferèntur mòntes in cor maris. ^ Therefore we will not fear, when the earth shall be troubled~; and the mountains shall be removed into the heart of the sea.
4 ^ Sonavérunt et turbátaĕ sunt aqŭaĕ eórum~; conturbáti sunt mòntes in fortitúdine ejus. ^ Their waters roared and were troubled~; the mountains were troubled with his strength.
5 ^ Flúminis ìmpetus laĕtìficat čivitátem Dei~; sanctificávit tabernáculum suum Altìssimus. ^ The rushing of the river maketh the city of God joyful~; the most High hath sanctified his own tabernacle.
6 ^ Deus in mèdio ejus, non commovébitur~; adjuvábit eam Deus mane dilúculo. ^ God is in the midst thereof, it shall not be moved~; God will help it in the morning early.
7 ^ Conturbátaĕ sunt ǧèntes, et inclináta sunt regna~; dèdit vočem suam, mota est terra. ^ Nations were troubled, and kingdoms were bowed down~; he uttered his voice, the earth trembled.
8 ^ Dòminus virtútum nobíscum~; suscèptor noster Deus Jacóbis. ^ The Lord of armies is with us~; the God of Jacob is our protector.
9 ^ Věníte et vedéte ópera Dòmini, qŭaĕ pósuit prodìǧia super terram, ^ Come and behold ye the works of the Lord, what wonders he hath done upon earth,
10 ^ áŭferens bella usqŭe ad finem terraĕ. Arcum cònteret, et confrìnǧet arma, et scuta combúret ìgni. ^ making wars to cease even to the end of the earth. He shall destroy the bow, and break the weapons, and the shield he shall burn in the fire.
11 ^ Vacáte, et vedéte qŭóniam ego sum Deus~; exaltábor in ǧèntibus, et exaltábor in terra. ^ Be still and see that I am God~; I will be exalted among the nations, and I will be exalted in the earth.
12 ^ Dòminus virtútum nobíscum~; suscèptor noster Deus Jacóbis. ^ The Lord of armies is with us~; the God of Jacob is our protector.
