1 ^ ¿~Ut qŭid, Deus, repulìsti in finem, irátus est furor tuus super oves páscuaĕ tuaĕ~? ^ Why, O God, hast thou cast us off unto the end, thy wrath enkindled against the sheep of thy pasture~?
2 ^ Mèmor èsto congregațiónis tuaĕ, qŭam possedìsti ab inìțio~; redemìsti vìrgam hereditátis tuaĕ~; mons Siónis in qŭo habitavìsti in eo. ^ Remember thy congregation, which thou hast possessed from the beginning~; the sceptre of thy inheritance which thou hast redeemed~; mount Sion in which thou hast dwelt.
3 ^ Lèva manûs tuas in supèrbias eórum in finem, qŭanta malignátus est inimícus in sancto. ^ Lift up thy hands against their pride unto the end, how many things the enemy hath done wickedly in the sanctuary.
4 ^ Et gloriáti sunt qŭi odérunt te in mèdio solemnitátis tuaĕ~; posuérunt sìgna sua, sìgna, ^ And they that hate thee have made their boasts in the midst of thy solemnity~; they have set up their ensigns, signs,
5 ^ et non cognovérunt sicut in èxitu super summum. ^ and they knew it not as in the going out upon the highest top.
6 ^ Quasi in silva lignórum secúribus, excaĕdérunt jánuas ejus in idìpsum~; in secúri et áscia dejecérunt eam. ^ As with axes in a wood of trees, they have cut down at once the gates thereof~; with axe and hatchet they have brought it down.
7 ^ Incensérunt ìgni sanctuárium tuum~; in terra polluvérunt tabernáculum nóminis tui. ^ They have set fire to thy sanctuary~; they have defiled the dwelling place of thy name on the earth.
8 ^ Dixérunt in corde suo cognáțio eórum sìmul, «~Quiéscere faciámus òmnes dies festos Dei a terra.~»^ They said in their heart, the whole kindred of them together, "Let us make to cease all the festival days of God from the land."
9 ^ Signa nostra non vídimus~; jam non est proféta, et nos non cognóscet ámplius. ^ Our signs we have not seen~; there is now no prophet, and he will know us no more.
10 ^ ¿~Úsqŭeqŭo, Deus, improperábit inimícus~? ¿~Irrítat adversárius nomen tuum in finem~? ^ How long, O God, shall the enemy reproach~? Is the adversary to provoke thy name for ever~?
11 ^ ¿~Ut qŭid avèrtis manum tuam, et dèxteram tuam de mèdio sìnu tuo in finem~? ^ Why dost thou turn away thy hand, and thy right hand out of the midst of thy bosom for ever~?
12 ^ Deus aŭtem rex noster ante sáĕcula~; operátus est salútem in mèdio terraĕ. ^ But God is our king before ages~; he hath wrought salvation in the midst of the earth.
13 ^ Tu confirmavìsti in virtúte tua mare~; contribulavìsti cápita dracónum in aqŭîs. ^ Thou by thy strength didst make the sea firm~; thou didst crush the heads of the dragons in the waters.
14 ^ Tu confregìsti cápita dracónis~; dedìsti eum escam pòpulîs Aețiópum. ^ Thou hast broken the heads of the dragon~; thou hast given him to be meat for the people of the Ethiopians.
15 ^ Tu dirupìsti fontes et torrèntes~; tu siccavìsti flúvios Étaĕ. ^ Thou hast broken up the fountains and the torrents~; thou hast dried up the rivers of Etam.
16 ^ Tuus est dies, et tua est nòx~; tu fabricátus es aŭróram et sólem. ^ Thine is the day, and thine is the night~; thou hast made the morning light and the sun.
17 ^ Tu fecìsti òmnes tèrminos terraĕ~; aĕstátem et ver, tu plasmavìsti ea. ^ Thou hast made all the borders of the earth~; the summer and the spring, thou hast formed them.
18 ^ Mèmor èsto hujus, inimícus improperávit Dòmino, et pòpulus insápiens incitávit nomen tuum. ^ Remember this, the enemy hath reproached the Lord, and a foolish people hath provoked thy name.
19 ^ Ne tradas béstiîs ánimas confitèntes tìbi, et ánimas páŭperum tuórum ne obliviscáris in finem. ^ Deliver not up to beasts the souls that confess to thee, and forget not to the end the souls of thy poor.
20 ^ Rèspice in testamèntum tuum, qŭia repléti sunt qŭi obscuráti sunt terraĕ dómibus iniqŭitátum. ^ Have regard to thy covenant, for they that are the obscure of the earth have been filled with dwellings of iniquity.
21 ^ Ne avertátur húmilis factus confúsus~; paŭper et inops laŭdábunt nomen tuum. ^ Let not the humble be turned away confounded~; the poor and needy shall praise thy name.
22 ^ Exsùrge, Deus~; júdica caŭsam tuam~; mèmor èsto improperiórum tuórum, eórum qŭaĕ ab insapiènti sunt tota die. ^ Arise, O God~; judge thy own cause~; remember thy reproaches with which the foolish man hath reproached thee all the day.
23 ^ Ne obliviscáris voces inimicórum tuórum~; supèrbia eórum qŭi te odérunt ascèndit sèmper. ^ Forget not the voices of thy enemies~; the pride of them that hate thee ascendeth continually.
