2 ^ Quam dilécta tabernácula tua Dòmine virtútum. ^ How lovely are thy tabernacles, O Lord of hosts.
3 ^ Concupíscit, et déficit ánima mea in átria Dòmini~; cor meum et carnis mea exsultavérunt in Deum vivum. ^ my soul longeth and fainteth for the courts of the Lord. My heart and my flesh have rejoiced in the living God.
4 ^ Ètenim passer invénit sìbi domum, et turtur nidum sìbi, ubi ponat pullos suos~; altária tua, Dòmine virtútum, rex meus, et Deus meus. ^ For the sparrow hath found herself a house, and the turtle a nest for herself where she may lay her young ones~; thy altars, O Lord of hosts, my king and my God.
5 ^ Beáti qŭi hábitant in domu tua, Dòmine~; in sáĕcula saĕculórum laŭdábunt te. ^ Blessed are they that dwell in thy house, O Lord~; they shall praise thee for ever and ever.
6 ^ Beátus vìr cujus est aŭxìlium a te~; ascensiónes in corde suo dispósuit, ^ Blessed is the man whose help is from thee~; in his heart he hath disposed to ascend by steps,
7 ^ in valle lacrimárum, in loco qŭem pósuit. ^ In the vale of tears, in the place which he hath set.
8 ^ Ètenim benedicțiónem dabit legislátor~; ibunt de virtúte in virtútem~; vǐdébitur Deus deórum in Sióne. ^ For the lawgiver shall give a blessing~; they shall go from virtue to virtue~; the God of gods shall be seen in Sion.
9 ^ Dòmine Deus virtútum, exáŭdi orațiónem meam~; áŭribus pèrcipe, Deus Jacóbis. ^ O Lord God of hosts, hear my prayer~; give ear, O God of Jacob.
10 ^ Protéctor noster, áspice, Deus, et rèspice in fáciem christi tui. ^ Behold, O God our protector, and look on the face of thy Christ.
11 ^ Qŭia mèlior est dies una in átriîs tuîs super mìllia~; elégi abjèctus esse in domu Dei mei magis qŭam habitáre in tabernáculîs peccatórum. ^ For better is one day in thy courts above thousands~; I have chosen to be an abject in the house of my God, rather than to dwell in the tabernacles of sinners.
12 ^ Qŭia misericórdiam et veritátem díligit Deus~; gráțiam et glóriam dabit Dòminus. ^ For God loveth mercy and truth~; the Lord will give grace and glory.
13 ^ Non privábit bonîs eos qŭi ámbulant in innocènția~; Dòmine virtútum, beátus hòmo qŭi sperat in te. ^ He will not deprive of good things them that walk in innocence~; O Lord of hosts, blessed is the man that trusteth in thee.
