1 ^ Benedíce, ánima mea, Dòmino. Dòmine Deus meus, magnificátus es vehemènter. Confessiónem et decórem induìsti, ^ Bless the Lord, O my soul. O Lord my God, thou art exceedingly great. Thou hast put on praise and beauty,
2 ^ amìctus lúmine sicut vestimènto, extèndens caĕlum sicut pellem. ^ clothed with light as with a garment, stretching out the heaven like a pavilion.
3 ^ Qŭi tèǧis aqŭîs superióra ejus~; qŭi ponis nubem ascènsum tuum~; qŭi ámbulas super pennas ventórum. ^ Who coverest the higher rooms thereof with water~; who makest the clouds thy chariot~; who walkest upon the wings of the winds.
4 ^ Qŭi facis ánǧelos tuos spíritûs, et minìstros tuos ìgnem urèntem. ^ Who makest thy angels spirits, and thy ministers a burning fire.
5 ^ Qŭi fundavìsti terram super stabilitátem suam~; non inclinábitur in sáĕculum sáĕculi. ^ Who hast founded the earth upon its own bases~; it shall not be moved for ever and ever.
6 ^ Abìssus sicut vestimèntum amìctus ejus~; super mòntes stabunt aqŭaĕ. ^ The deep like a garment is its clothing~; above the mountains shall the waters stand.
7 ^ Ab increpațióne tua fúǧient~; a voce tonìtrui tui formidábunt. ^ At thy rebuke they shall flee~; at the voice of thy thunder they shall fear.
8 ^ Ascèndunt mòntes, et descèndunt campi in locum qŭem fundavìsti eîs. ^ The mountains ascend, and the plains descend into the place which thou hast founded for them.
9 ^ Tèrminum posuìsti qŭem non transgredièntur, nèqŭe convertèntur operíre terram. ^ Thou hast set a bound which they shall not pass over, neither shall they return to cover the earth.
10 ^ Qŭi emìttîs fòntes in convállibus~; inter mèdium mòntium pertransíbunt aqŭaĕ. ^ Thou sendest forth springs in the vales~; between the midst of the hills the waters shall pass.
11 ^ Potábunt òmnes béstiaĕ agri~; expectábunt ònagri in sìti sua. ^ All the beasts of the field shall drink~; the wild asses shall expect in their thirst.
12 ^ Super ea vulácres caĕli habitábunt~; de mèdio petrárum dabunt vocem. ^ Over them the birds of the air shall dwell~; from the midst of the rocks they shall give voice.
13 ^ Rìgans mòntes de superióribus suîs~; de fructu óperum tuórum sațiábitur terra~; ^ Thou waterest the hills from thy upper rooms~; the earth shall be filled with the fruit of thy works.
14 ^ prodúcens foĕnum jumèntîs, et herbam servitúti hòminum, ut edúcas panem de terra, ^ bringing forth grass for cattle, and herb for the service of men, that thou mayst bring bread out of the earth,
15 ^ et vínum laĕtìficet cor hòminis, ut exhìlaret fáciem in óleo, et panis cor hòminis confìrmet. ^ and that wine may cheer the heart of man, that he may make the face cheerful with oil, and that bread may strengthen man's heart.
