1 ^ Laudáte Dòminum de ċaelïs~; laudáte eum in exċèlsïs. 
2 ^ Laudáte eum, òmnes ànġeli ejus~; laudáte eum, òmnes virtútes ejus. 
3 ^ Laudáte eum, sol et luna~; laudáte eum, òmnes stellae et lumen. 
4 ^ Laudáte eum, ċaeli ċaelórum, et aqua quae super ċaelos sunt. 
5 ^ Laudent nomen Dòmini~; quia ìpse dixit, et fàcta sunt~; ìpse mandávit, et creáta sunt. 
6 ^ Statúvit ea in aetèrnum, et in sáeculum sáeculi~; praeċèptum pósuit, et non praeteríbit. 
7 ^ Laudáte Dòminum de terra, dracónes et òmnes abỳssi, 
8 ^ ìgnis, gràndo, nìx, glàċia, spíritus proċèllae, quae fàċiunt vèrbum ejus, 
9 ^ mòntes et òmnes colles, lìgna fructìfera et òmnes cédri, 
10 ^ béstiae et univèrsa pècora, serpèntes et vulácres pennátae, 
11 ^ reġes terrae et òmnes pòpuli, prínċipes et òmnes júdices terrae, 
12 ^ júvenes et vìrġines, sènes cum junióribus, 
13 ^ laudent nomen Dòmini, quia exaltátum est nomen ejus sólius~; confèssio ejus super ċaelum et terram. 
14 ^ Et exaltávit cornu pòpuli sui~; hỳmnus òmnibus sanctïs ejus, fíliïs Israhélis, pòpulo appropinquànti sìbi. 
