1 ^ Laudāte Dominum dē caelīs~; laudāte eum in excelsīs. ^ Praise ye the Lord from the heavens~; praise ye him in the high places.
2 ^ Laudāte eum, omnēs angelī ejus~; laudāte eum, omnēs virtūtēs ejus. ^ Praise ye him all his angels~; praise ye him all his hosts.
3 ^ Laudāte eum, sōl et lūna~; laudāte eum, omnēs stellae et lūmen. ^ Praise ye him, O sun and moon~; praise him, all ye stars and light.
4 ^ Laudāte eum, caelī caelōrum, et aqua quae super caelōs sunt. ^ Praise him, ye heavens of heavens, and thou water that art above the heavens.
5 ^ Laudent nōmen Dominī~; quia ipse dixit, et facta sunt~; ipse mandāvit, et creāta sunt. ^ Let them praise the name of the Lord~; for he spoke, and they were made~; he commanded, and they were created.
6 ^ Statūvit ea in aeternum, et in saeculum saeculī~; praeceptum posuit, et non praeterībit. ^ He hath established them for ever, and for ages of ages~; he hath made a decree, and it shall not pass away.
7 ^ Laudāte Dominum dē terrā, dracōnēs et omnēs abissī, ^ Praise the Lord from the earth, ye dragons and all ye deeps,
8 ^ ignis, grandō, nix, glaciēs, spīritus procellae, quae faciunt verbum ejus, ^ fire, hail, snow, ice, wind of tempest, which fulfil his word,
9 ^ montēs et omnēs collēs, ligna fructifera et omnēs cedrī, ^ mountains and all hills, fruitful trees and all cedars,
10 ^ bēstiae et ūniversa pecora, serpentēs et volucrēs pennātae, ^ beasts and all cattle, serpents and feathered fowls,
11 ^ rēgēs terrae et omnēs populī, principēs et omnēs jūdicēs terrae, ^ kings of the earth and all people, princes and all judges of the earth,
12 ^ jūvenēs et virginēs, senēs cum jūniōribus, ^ young men and maidens, older with the younger~;
13 ^ laudent nōmen Dominī, quia exaltātum est nōmen ejus sōlīus~; confessiō ejus super caelum et terram. ^ let them praise the name of the Lord, for exalted is the name of him alone~; the praise of him is above heaven and earth.
14 ^ Et exaltāvit cornū populī suī~; himnus omnibus sanctīs ejus, fīliīs Isrāhēlis, populō appropinquantī sibī. ^ And he hath exalted the horn of his people~; a hymn to all his saints, to the children of Israel, to a people drawing nigh unto him.
